#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
2 2.25 4 4.5 6.75 7 165.4514566850343 0.06017211967355252
2 2.25 4 4.5 7 7.25 145.2688902446073 0.05423468970334966
2 2.25 4 4.5 7.25 7.5 128.0026787279198 0.04878943996715179
2 2.25 4 4.5 7.5 7.75 113.165966041743 0.04383791484320909
2 2.25 4 4.5 7.75 8 100.3637305044565 0.03936175519922358
2 2.25 4 4.5 8 8.25 89.27345864767054 0.03533080887997642
2 2.25 4 4.5 8.25 8.5 79.63044630638622 0.03171093788679968
2 2.25 4 4.5 8.5 8.75 71.21631317543938 0.02846554834832205
2 2.25 4 4.5 8.75 9 63.84989037476522 0.02555845631515297
2 2.25 4 4.5 9 9.25 57.38030769116236 0.02295733170969783
2 2.25 4 4.5 9.25 9.5 51.6812684395374 0.02063078267186569
2 2.25 4 4.5 9.5 9.75 46.64673361736525 0.01855023371760467
2 2.25 4 4.5 9.75 10 42.18712494764661 0.01668822456481678
2 2.25 4 4.5 10 20 451.391430206792 0.4385552669220374
2 2.25 4.5 5 0 0.25 2223638.731491045 532.9575931167974
2 2.25 4.5 5 0.25 0.5 6388648.29050249 688.7024814817991
2 2.25 4.5 5 0.5 0.75 9762533.05898862 1122.169200612378
2 2.25 4.5 5 0.75 1 11981562.32447996 1515.85629989967
2 2.25 4.5 5 1 1.25 12745877.3313426 2511.859376464396
2 2.25 4.5 5 1.25 1.5 11316846.44298582 2777.574044441948
2 2.25 4.5 5 1.5 1.75 8219438.002015066 8056.659336950073
2 2.25 4.5 5 1.75 2 4877466.045836255 2884.140559366381
2 2.25 4.5 5 2 2.25 2331282.991048044 1546.595480214804
2 2.25 4.5 5 2.25 2.5 861063.5134719126 554.4501357910374
